,shrinkage,interaction.depth,n.minobsinnode,n.trees,RMSE,Rsquared,MAE,RMSESD,RsquaredSD,MAESD
979,0.582699709,10,10,3796,16.32537683,0.329333666,12.75955988,6.37458177,0.238780283,4.870302749
310,0.179933816,2,11,4825,16.32851579,0.35009632,12.24093159,5.346988027,0.186530799,4.197281186
278,0.163282654,10,17,1144,16.34166746,0.217040821,12.03773253,6.226661231,0.238412304,4.156850451
390,0.224853628,4,11,1738,16.34406336,0.292720907,12.1515142,5.684048384,0.258216702,4.30905024
549,0.321546774,3,14,250,16.34493708,0.220168508,12.1629901,6.338322801,0.239091387,3.881006976
562,0.331022946,1,11,425,16.36995663,0.303613374,12.34738895,7.113269084,0.309743024,4.433954388
624,0.367764241,5,10,4338,16.37223752,0.334326664,12.85461593,6.371672419,0.239573288,4.937875448
872,0.512158188,5,11,1456,16.37483972,0.33688974,12.81439476,6.135939854,0.284582102,4.838082521
111,0.067594618,8,16,3720,16.39382987,0.257350969,12.313749,7.063578194,0.244015049,4.411357392
133,0.084971892,8,14,2659,16.3938624,0.287170719,12.1419941,6.936515019,0.257184394,4.153816984
440,0.25368429,6,12,2740,16.39677222,0.292869123,12.12310483,5.380830749,0.244613295,3.792204819
513,0.295351812,4,10,1190,16.42288464,0.318301663,12.46841791,6.664996499,0.234366944,5.566884073
776,0.463128023,6,11,533,16.42585976,0.28368936,12.77331623,5.184202376,0.230007804,3.721944588
904,0.535662231,3,9,67,16.44046477,0.247775814,12.87019436,7.343732466,0.272169578,4.862522798
972,0.579649282,8,6,1090,16.44645482,0.276676875,12.57470153,5.852402474,0.207748092,3.65316681
683,0.403965309,7,10,586,16.44821684,0.218462694,12.25173024,5.602605078,0.240734398,4.561435655
463,0.264422635,8,11,1958,16.48188485,0.274931215,12.4561161,5.442302171,0.241144849,4.034533078
642,0.377686525,3,14,345,16.48378015,0.239853718,12.14618905,7.610330329,0.292170962,4.733065019
530,0.307325998,3,11,1905,16.49462198,0.27900627,12.48732331,5.074786511,0.212521482,3.959144675
507,0.28928046,9,17,505,16.49925189,0.197495135,12.39459859,6.587080796,0.197292063,4.765671008
